,word list,word occurence count,Chi Square
0,aa,18,25.642737896494157
1,aaa,2,1.6002963511761437
2,aaaai,1,5.000463005833874
3,aaaand,2,10.001852194850898
4,aaam,3,15.004167824395665
5,aac,2,10.001852194850898
6,aachen,1,5.000463005833874
7,aad,4,9.803630974434975
8,aada,1,5.000463005833874
9,aadc,2,1.6002963511761437
10,aae,1,5.000463005833874
11,aagar,1,5.000463005833874
12,aair,1,5.000463005833874
13,aakan,1,5.000463005833874
14,aalat,1,5.000463005833874
15,aalt,1,5.000463005833874
16,aam,5,14.446688281611857
17,aan,2,1.6002963511761437
18,aanem,1,5.000463005833874
19,aantirasuah,1,5.000463005833874
20,aanya,1,5.000463005833874
21,aao,1,5.000463005833874
22,aaoa,1,5.000463005833874
23,aap,7,24.04415560349962
24,aapabila,1,5.000463005833874
25,aapd,1,5.000463005833874
26,aapi,1,5.000463005833874
27,aapl,1,5.000463005833874
28,aapsky,1,5.000463005833874
29,aara,1,5.000463005833874
30,aaran,1,5.000463005833874
31,aaron,23,54.38538594672229
32,aarp,2,10.001852194850898
33,aarthy,1,5.000463005833874
34,aas,1,5.000463005833874
35,aasia,1,5.000463005833874
36,aastha,2,10.001852194850898
37,aat,1,5.000463005833874
38,aau,1,5.000463005833874
39,ab,5,6.763131079203335
40,aba,11,11.375222238138171
41,abaca,1,5.000463005833874
42,abad,62,25.12488058688168
43,abadi,75,17.61834965034965
44,abai,224,46.569456451264315
45,abaiknya,1,5.000463005833874
46,abal,3,0.6001667129758266
47,abang,66,193.61959449159002
48,abar,47,50.77842700008508
49,abas,1,5.000463005833874
50,abaya,1,5.000463005833874
51,abayazid,1,5.000463005833874
52,abbas,1,5.000463005833874
53,abbey,2,1.6002963511761437
54,abbi,1,5.000463005833874
55,abbiamo,1,5.000463005833874
56,abbie,1,5.000463005833874
57,abbottabad,1,5.000463005833874
58,abby,1,5.000463005833874
59,abc,20,27.09016697588126
60,abcb,1,5.000463005833874
61,abcdef,1,5.000463005833874
62,abd,1,5.000463005833874
63,abdan,2,10.001852194850898
64,abdee,1,5.000463005833874
65,abdel,1,5.000463005833874
66,abdi,44,45.640488184184726
67,abdillah,3,5.401500416782439
68,abdomen,1,5.000463005833874
69,abdominal,5,25.011579434923576
70,abdu,2,1.6002963511761437
71,abduk,1,5.000463005833874
72,abdul,33,101.16365662757416
73,abdulaziz,1,5.000463005833874
74,abdulgani,1,5.000463005833874
75,abdullah,16,31.296364985163205
76,abdullahi,1,5.000463005833874
77,abdullatif,1,5.000463005833874
78,abdulmanap,1,5.000463005833874
79,abdulrachman,1,5.000463005833874
80,abdulrahman,1,5.000463005833874
81,abdurachman,4,3.2011856243052983
82,abdurrachman,1,5.000463005833874
83,abe,3,0.6001667129758266
84,abed,5,14.446688281611857
85,abegabriel,1,5.000463005833874
86,abejuela,1,5.000463005833874
87,abel,1,5.000463005833874
88,abela,1,5.000463005833874
89,abell,1,5.000463005833874
90,abelson,1,5.000463005833874
91,abenk,2,10.001852194850898
92,abepura,2,10.001852194850898
93,aber,1,5.000463005833874
94,aberdeen,1,5.000463005833874
95,abers,1,5.000463005833874
96,aberson,1,5.000463005833874
97,abg,1,5.000463005833874
98,abhijir,1,5.000463005833874
99,abhijit,2,1.6002963511761437
100,abhinav,1,5.000463005833874
101,abhipraya,1,5.000463005833874
102,abhishek,2,1.6002963511761437
103,abi,4,9.803630974434975
104,abian,1,5.000463005833874
105,abid,1,5.000463005833874
106,abidal,1,5.000463005833874
107,abidin,7,24.04415560349962
108,abidzia,1,5.000463005833874
109,abigail,1,5.000463005833874
110,abilities,1,5.000463005833874
111,ability,2,10.001852194850898
112,abimanyu,38,106.50104167685521
113,abimanyutempat,1,5.000463005833874
114,abin,1,5.000463005833874
115,abington,1,5.000463005833874
116,abion,1,5.000463005833874
117,abis,3,0.6001667129758266
118,abisa,1,5.000463005833874
119,abj,1,5.000463005833874
120,abjad,5,14.446688281611857
121,abk,7,35.02269989808209
122,abl,1,5.000463005833874
123,ablasi,7,15.124088364151367
124,ablatif,1,5.000463005833874
125,ablative,1,5.000463005833874
126,able,1,5.000463005833874
127,abloh,8,40.02965159377317
128,abnominal,1,5.000463005833874
129,abnormal,88,290.40260710163625
130,abnornal,1,5.000463005833874
131,aboe,3,15.004167824395665
132,aborsi,5,1.9609078276980083
133,about,42,44.057047247231296
134,above,1,5.000463005833874
135,abpd,3,15.004167824395665
136,abpn,4,20.007410151908115
137,abracadabra,1,5.000463005833874
138,abraham,11,17.490541713361253
139,abrahamn,1,5.000463005833874
140,abram,1,5.000463005833874
141,abramovich,1,5.000463005833874
142,abrasi,4,3.2011856243052983
143,abrasif,10,38.75588507877664
144,abrek,1,5.000463005833874
145,abri,1,5.000463005833874
146,abrianto,1,5.000463005833874
147,abrijani,4,20.007410151908115
148,abrik,3,15.004167824395665
149,abrupsi,1,5.000463005833874
150,abs,45,225.94142259414227
151,absah,8,2.501853224610823
152,absen,136,195.16945412823793
153,absence,1,5.000463005833874
154,absensi,6,19.210672595886603
155,abses,18,57.69616026711185
156,absolut,2,1.6002963511761437
157,absolute,2,1.6002963511761437
158,absorber,3,5.401500416782439
159,absorpsi,2,10.001852194850898
160,abstrak,14,22.88681094540542
161,abstraksi,1,5.000463005833874
162,absurd,4,9.803630974434975
163,abu,100,58.34018691588785
164,abuan,8,28.921423276501113
165,abulaziz,1,5.000463005833874
166,abum,1,5.000463005833874
167,abunasser,1,5.000463005833874
168,abundance,1,5.000463005833874
169,abur,8,6.404744255003706
170,abus,1,5.000463005833874
171,abuse,2,1.6002963511761437
172,abusif,5,25.011579434923576
173,abusive,1,5.000463005833874
174,aby,1,5.000463005833874
175,abyss,1,5.000463005833874
176,abyssine,1,5.000463005833874
177,abyssinian,1,5.000463005833874
178,ac,225,273.6122553191489
179,academia,2,1.6002963511761437
180,academic,2,1.6002963511761437
181,academies,1,5.000463005833874
182,academy,115,60.16235681878293
183,acak,85,52.65203809942082
184,acamea,1,5.000463005833874
185,acanthamoeba,2,10.001852194850898
186,acanthosis,5,14.446688281611857
187,acap,3,0.6001667129758266
188,acapkali,42,154.88805672854753
189,acar,12,48.654060066740826
190,acara,710,188.17348092519438
191,acarbose,1,5.000463005833874
192,acau,19,8.868233100142064
193,acc,5,6.763131079203335
194,accc,2,10.001852194850898
195,acceleration,3,15.004167824395665
196,accelerometer,2,10.001852194850898
197,accent,2,10.001852194850898
198,accept,6,4.802668148971651
199,acceptance,1,5.000463005833874
200,accepting,1,5.000463005833874
201,access,31,155.44618813260283
202,accessibility,3,15.004167824395665
203,accessing,2,10.001852194850898
204,accessories,3,15.004167824395665
205,accident,2,1.6002963511761437
206,accidental,2,10.001852194850898
207,acciiii,1,5.000463005833874
208,accomplished,2,10.001852194850898
209,accord,14,58.590236020237874
210,accordance,1,5.000463005833874
211,account,31,111.03484014749625
212,accounting,2,1.6002963511761437
213,accounts,8,28.921423276501113
214,accrod,1,5.000463005833874
215,accu,1,5.000463005833874
216,accubattery,1,5.000463005833874
217,accupril,2,10.001852194850898
218,accuracy,4,9.803630974434975
219,accutane,1,5.000463005833874
220,acd,2,1.6002963511761437
221,ace,20,4.007421150278293
222,acebutolol,2,10.001852194850898
223,aceh,40,67.53011152416357
224,acelta,1,5.000463005833874
225,aceng,1,5.000463005833874
226,aceon,2,10.001852194850898
227,acep,1,5.000463005833874
228,acer,11,43.699053750031595
229,acerbi,2,10.001852194850898
230,acertou,1,5.000463005833874
231,acetaminophen,13,65.07833503290999
232,acetate,3,5.401500416782439
